,time,x,y,z
471,0.11775,-128.467115,-6.803363,-22.555295
472,0.118,-46.091255,-4.842033,-12.748645
473,0.11825,-44.129925,-1.900038,-18.632635
474,0.1185,14.709975,1.041956,5.88399
475,0.11875,36.284605,11.829271,-8.825985
476,0.119,100.02783,-4.842033,1.9613300000000002
477,0.11925,149.06108,-17.590678,6.864655
478,0.1195,165.732385,-25.435998,11.76798
479,0.11975,205.93965,-42.107303,15.69064
480,0.12,237.32093,-9.745358,4.903325
481,0.12025,268.70221,-13.668018,-14.709975
482,0.1205,298.12216,-6.803363,-11.76798
483,0.12075,325.58078,-31.319988,-1.9613300000000002
484,0.121,345.19408,-60.739938,-6.864655
485,0.12125,368.73004,-41.126638,7.84532
486,0.1215,434.434595,-56.817278,11.76798
487,0.12175,454.047895,-91.140553,29.41995
488,0.122,437.37659,-63.681933,43.14926
489,0.12225,463.854545,-46.029963,38.245935
490,0.1225,493.274495,-31.319988,23.53596
491,0.12275,548.191735,-45.049298,3.92266
492,0.123,566.82437,-28.377993,-0.980665
493,0.12325,556.037055,-37.203978,-2.941995
494,0.1235,565.843705,-67.604593,12.748645
495,0.12375,589.379665,-40.145973,-0.980665
496,0.124,608.992965,-60.739938,11.76798
497,0.12425,596.24432,-55.836613,10.787315
498,0.1245,595.263655,-40.145973,1.9613300000000002
499,0.12475,622.722275,-40.145973,-17.65197
500,0.125,597.224985,-41.126638,5.88399
501,0.12525,650.180895,-42.107303,10.787315
502,0.1255,607.031635,-34.261983,1.9613300000000002
503,0.12575,592.32166,-78.391908,27.45862
504,0.126,550.153065,-40.145973,-19.6133
505,0.12625,571.727695,-38.184643,39.2266
506,0.1265,530.539765,-39.165308,-24.516625
507,0.12675,607.031635,-73.488583,25.49729
508,0.127,450.125235,-80.353238,24.516625
509,0.12725,449.14457,-67.604593,44.129925
510,0.1275,372.6527,40.268556,13.72931
511,0.12775,471.699865,-126.444493,83.356525
512,0.128,417.76329,-10.726023,-30.400615
513,0.12825,433.45393,95.185796,35.30394
514,0.1285,354.020065,-144.096463,7.84532
515,0.12875,277.528195,10.848606,-2.941995
516,0.129,350.097405,20.655256,13.72931
517,0.12925,245.16625,-55.836613,6.864655
518,0.1295,294.1995,-17.590678,3.92266
519,0.12975,316.754795,27.519911,-2.941995
520,0.13,150.041745,-64.662598,6.864655
521,0.13025,189.268345,-12.687353,2.941995
522,0.1305,95.124505,15.751931,-45.11059
523,0.13075,206.920315,-14.648683,11.76798
524,0.131,22.555295,-37.203978,14.709975
525,0.13125,73.549875,39.287891,14.709975
526,0.1315,34.323275,3.003286,3.92266
527,0.13175,-40.207265,-34.261983,9.80665
528,0.132,1.9613300000000002,-0.919373,19.6133
529,0.13225,-115.71847,13.790601,34.323275
530,0.1325,-64.72389,0.061291,-17.65197
531,0.13275,-99.047165,4.9646159999999995,27.45862
532,0.133,-156.9064,21.635921,0.0
533,0.13325,-146.119085,-18.571343,19.6133
534,0.1335,-253.01157,3.9839510000000002,9.80665
535,0.13375,-191.229675,-0.919373,-7.84532
536,0.134,-255.953565,29.481241,16.671305
537,0.13425,-264.77955,15.751931,2.941995
538,0.1345,-254.9729,49.094541,-1.9613300000000002
539,0.13475,-357.942725,27.519911,-33.34261
540,0.135,-308.909475,31.442571,0.980665
541,0.13525,-366.76871,30.461906,-52.95591
542,0.1355,-370.69137,17.713261,-43.14926
543,0.13575,-378.53669,41.249221,-31.38128
544,0.136,-438.357255,28.500576,-43.14926
545,0.13625,-414.821295,46.152546,-45.11059
546,0.1365,-449.14457,60.862521,-28.439285
547,0.13675,-439.33792,22.616586,-28.439285
548,0.137,-432.473265,66.746511,-32.361945
549,0.13725,-474.64186,44.191216,-35.30394
550,0.1375,-426.589275,45.171881,-9.80665
551,0.13775,-476.60319,51.055871,-9.80665
552,0.138,-446.202575,37.326561,5.88399
553,0.13825,-458.95122,51.055871,4.903325
554,0.1385,-467.777205,36.345896,19.6133
555,0.13875,-418.743955,81.456486,-11.76798
556,0.139,-497.197155,21.635921,-7.84532
557,0.13925,-438.357255,93.224466,-20.593965
558,0.1395,-482.48718,36.345896,-21.57463
559,0.13975,-474.64186,66.746511,-18.632635
560,0.14,-465.815875,64.785181,-8.825985
561,0.14025,-476.60319,41.249221,1.9613300000000002
562,0.1405,-460.91255,54.978531,2.941995
563,0.14075,-432.473265,64.785181,16.671305
564,0.141,-464.83521,50.075206,7.84532
565,0.14125,-416.782625,72.630501,24.516625
566,0.1415,-447.18324,32.423236,14.709975
567,0.14175,-411.8793,27.519911,23.53596
568,0.142,-389.324005,5.945281,18.632635
569,0.14225,-400.11132,28.500576,0.980665
570,0.1425,-336.368095,35.365231,-11.76798
571,0.14275,-370.69137,56.939861,-41.18793
572,0.143,-318.716125,43.210551,-35.30394
573,0.14325,-269.682875,53.997866,-27.45862
574,0.1435,-285.373515,28.500576,-23.53596
575,0.14375,-210.842975,15.751931,17.65197
576,0.144,-212.804305,13.790601,17.65197
577,0.14425,-141.21576,-7.784028,19.6133
578,0.1445,-152.98374,25.558581,16.671305
579,0.14475,-95.124505,24.577916,15.69064
580,0.145,-72.56921,41.249221,-35.30394
581,0.14525,-53.936575,-1.900038,-16.671305
582,0.1455,-17.65197,5.945281,-24.516625
583,0.14575,-13.72931,-16.610013,-23.53596
584,0.146,46.091255,-47.991293,-14.709975
585,0.14625,50.99458,-23.474668,-12.748645
586,0.1465,116.699135,-27.397328,-3.92266
587,0.14675,109.83448,-33.281318,-8.825985
588,0.147,166.71305,-11.706688,-7.84532
589,0.14725,205.93965,-4.842033,-18.632635
590,0.1475,214.765635,-6.803363,14.709975
591,0.14775,245.16625,-6.803363,23.53596
592,0.148,283.412185,-45.049298,49.03325
593,0.14825,310.870805,-55.836613,52.95591
594,0.1485,318.716125,-62.701268,69.627215
595,0.14875,355.00073,-28.377993,30.400615
596,0.149,361.865385,-44.068633,21.57463
597,0.14925,361.865385,-42.107303,7.84532
598,0.1495,371.672035,-5.822698,-29.41995
599,0.14975,394.22733,-29.358658,-44.129925
600,0.15,418.743955,-14.648683,-78.4532
601,0.15025,451.1059,-33.281318,-52.95591
602,0.1505,462.87388,-30.339323,18.632635
603,0.15075,494.25516,-41.126638,1.9613300000000002
604,0.151,515.82979,-43.087968,34.323275
605,0.15125,494.25516,-57.797943,60.80123
606,0.1515,539.36575,-43.087968,33.34261
607,0.15175,505.042475,-39.165308,41.18793
608,0.152,576.63102,-18.571343,33.34261
609,0.15225,627.6256,-18.571343,-5.88399
610,0.1525,539.36575,2.022621,-34.323275
611,0.15275,531.52043,-25.435998,2.941995
612,0.153,468.75787,-50.933288,10.787315
613,0.15325,505.042475,-61.720603,13.72931
614,0.1535,561.921045,-54.855948,8.825985
615,0.15375,527.59777,-52.894618,-8.825985
616,0.154,495.235825,-70.546588,-13.72931
617,0.15425,388.34334,-46.029963,-13.72931
618,0.1545,350.097405,-27.397328,-33.34261
619,0.15475,440.318585,-11.706688,-19.6133
620,0.155,442.279915,3.9839510000000002,-0.980665
621,0.15525,436.395925,-28.377993,27.45862
622,0.1555,324.600115,-32.300653,40.207265
623,0.15575,309.89014,-37.203978,25.49729
624,0.156,297.141495,-42.107303,26.477955
625,0.15625,311.85147,-24.455333,25.49729
626,0.1565,293.218835,-21.513338,27.45862
627,0.15675,227.51428,-22.494003,-4.903325
628,0.157,167.693715,-23.474668,-18.632635
629,0.15725,139.25443,20.655256,-19.6133
630,0.1575,135.33177,4.9646159999999995,-31.38128
631,0.15775,116.699135,0.061291,-4.903325
632,0.158,79.433865,3.003286,-12.748645
633,0.15825,32.361945,-53.875283,-5.88399
634,0.1585,-18.632635,-7.784028,29.41995
635,0.15875,-9.80665,-15.629348,21.57463
636,0.159,-73.549875,-17.590678,22.555295
637,0.15925,-88.25985,1.041956,59.820565
638,0.1595,-104.931155,3.003286,30.400615
639,0.15975,-107.87315,36.345896,13.72931
640,0.16,-114.737805,9.867941,14.709975
641,0.16025,-186.32635,14.771266,-18.632635
642,0.1605,-229.47561,-0.919373,-8.825985
643,0.16075,-262.81822,0.061291,9.80665
644,0.161,-234.378935,14.771266,4.903325
645,0.16125,-243.20492,39.287891,-0.980665
646,0.1615,-253.992235,8.887276,47.07192
647,0.16175,-330.484105,38.307226,23.53596
648,0.162,-314.793465,21.635921,42.168595
649,0.16225,-334.406765,19.674591,6.864655
650,0.1625,-292.23817,55.959196,5.88399
651,0.16275,-309.89014,37.326561,-26.477955
652,0.163,-375.594695,27.519911,-41.18793
653,0.16325,-353.0394,63.804516,-48.052585
654,0.1635,-418.743955,9.867941,-23.53596
655,0.16375,-383.440015,47.133211,3.92266
656,0.164,-377.556025,32.423236,12.748645
657,0.16425,-395.207995,10.848606,22.555295
658,0.1645,-408.937305,18.693926,28.439285
659,0.16475,-439.33792,27.519911,16.671305
660,0.165,-381.478685,54.978531,-12.748645
661,0.16525,-407.95664,36.345896,-9.80665
662,0.1655,-392.266,54.978531,-35.30394
663,0.16575,-425.60861,17.713261,-33.34261
664,0.166,-432.473265,40.268556,-46.091255
665,0.16625,-377.556025,39.287891,-34.323275
666,0.1665,-390.30467,53.997866,-29.41995
667,0.16675,-373.633365,27.519911,2.941995
668,0.167,-404.03398,55.959196,8.825985
669,0.16725,-376.57536,37.326561,22.555295
670,0.1675,-317.73546,54.978531,0.0
671,0.16775,-317.73546,46.152546,-2.941995
672,0.168,-304.00615,35.365231,-15.69064
673,0.16825,-326.561445,11.829271,-30.400615
674,0.1685,-308.909475,26.539246,-37.26527
675,0.16875,-279.489525,20.655256,-11.76798
676,0.169,-269.682875,25.558581,-13.72931
677,0.16925,-259.876225,19.674591,-7.84532
678,0.1695,-252.030905,24.577916,-4.903325
679,0.16975,-232.417605,30.461906,-38.245935
680,0.17,-189.268345,24.577916,-26.477955
681,0.17025,-183.384355,36.345896,-57.859235
682,0.1705,-148.080415,9.867941,-59.820565
683,0.17075,-168.67438,20.655256,-64.72389
684,0.171,-150.041745,32.423236,-36.284605
685,0.17125,-111.79581,37.326561,-17.65197
686,0.1715,-91.201845,26.539246,-0.980665
687,0.17175,-18.632635,26.539246,11.76798
688,0.172,-45.11059,-26.416663,25.49729
689,0.17225,-38.245935,-12.687353,12.748645
690,0.1725,0.0,-7.784028,19.6133
691,0.17275,5.88399,-24.455333,-12.748645
692,0.173,32.361945,0.061291,11.76798
693,0.17325,21.57463,21.635921,-23.53596
694,0.1735,61.781895,0.061291,-40.207265
695,0.17375,63.743225,16.732596,-53.936575
696,0.174,117.6798,17.713261,-42.168595
697,0.17425,118.660465,-23.474668,-18.632635
698,0.1745,106.892485,-22.494003,-0.980665
699,0.17475,165.732385,-25.435998,21.57463
700,0.175,140.235095,-40.145973,33.34261
701,0.17525,211.82364,-22.494003,60.80123
702,0.1755,225.55295,-26.416663,56.87857
703,0.17575,226.533615,-30.339323,59.820565
704,0.176,231.43694,-15.629348,58.8399
705,0.17625,224.572285,-11.706688,38.245935
706,0.1765,266.74088,-32.300653,10.787315
707,0.17675,264.77955,-15.629348,-50.99458
708,0.177,273.605535,-14.648683,-12.748645
709,0.17725,277.528195,-20.532673,13.72931
710,0.1775,252.030905,-13.668018,-47.07192
711,0.17775,300.08349,-24.455333,11.76798
712,0.178,225.55295,-32.300653,-34.323275
713,0.17825,320.677455,-30.339323,-5.88399
714,0.1785,290.27684,-37.203978,9.80665
715,0.17875,324.600115,-9.745358,-8.825985
716,0.179,337.34876,-36.223313,27.45862
717,0.17925,246.146915,-15.629348,56.87857
718,0.1795,335.38743,-7.784028,58.8399
719,0.17975,279.489525,-67.604593,69.627215
720,0.18,328.522775,-19.552008,74.53054
721,0.18025,357.942725,-21.513338,24.516625
722,0.1805,313.8128,-62.701268,2.941995
723,0.18075,298.12216,-31.319988,-31.38128
724,0.181,227.51428,-1.900038,-53.936575
725,0.18125,259.876225,11.829271,-76.49187
726,0.1815,277.528195,9.867941,-49.03325
727,0.18175,289.296175,16.732596,-26.477955
728,0.182,238.301595,-20.532673,19.6133
729,0.18225,207.90098,-46.029963,79.433865
730,0.1825,248.108245,-32.300653,52.95591
731,0.18275,228.494945,-57.797943,66.68522
732,0.183,212.804305,-43.087968,50.013915
733,0.18325,177.500365,-6.803363,-0.980665
734,0.1835,133.37044,-21.513338,-24.516625
735,0.18375,113.75714,3.003286,-6.864655
736,0.184,96.10517,10.848606,-12.748645
737,0.18425,81.395195,-16.610013,-24.516625
738,0.1845,101.98916,-30.339323,7.84532
739,0.18475,65.704555,-31.319988,-9.80665
740,0.185,55.897905,-14.648683,20.593965
741,0.18525,17.65197,-30.339323,23.53596
742,0.1855,20.593965,-9.745358,16.671305
743,0.18575,-14.709975,2.022621,10.787315
744,0.186,-43.14926,11.829271,11.76798
745,0.18625,-32.361945,24.577916,-16.671305
746,0.1865,-41.18793,6.925946,-40.207265
747,0.18675,-42.168595,18.693926,-40.207265
748,0.187,-79.433865,0.061291,-32.361945
749,0.18725,-114.737805,-2.880703,-21.57463
750,0.1875,-106.892485,17.713261,18.632635
751,0.18775,-110.815145,-1.900038,30.400615
752,0.188,-106.892485,2.022621,28.439285
